Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
Colombia,Colombia,1961,EFConsTotGHA,465303.144200077,5934965.04019877,4114164.46347084,612023.364002005,4471623.53791096,20938269.3500421,36536348.8998248,3A,CO
Colombia,Colombia,1962,EFConsTotGHA,526744.555133562,6375130.52037814,4173913.56167813,644581.49158994,4187611.83896178,21393515.7743612,37301497.7421027,3A,CO
Colombia,Colombia,1963,EFConsTotGHA,521605.57156492,7310399.91227256,3857929.23490046,565717.912902606,4151775.41015491,22106547.3505536,38513975.392349,3A,CO
Colombia,Colombia,1964,EFConsTotGHA,581361.635964467,7634431.53838233,4311488.12195824,537216.894022604,4173926.40366048,22253767.8132995,39492192.4072876,3A,CO
Colombia,Colombia,1965,EFConsTotGHA,562925.003242476,7603115.50585874,4470980.44906577,587818.322955148,4201293.72815384,22248445.6141883,39674578.6234642,3A,CO
Colombia,Colombia,1966,EFConsTotGHA,639300.366736043,8375567.92185362,4943930.37949732,615803.277203504,4387503.17186403,23025178.2590747,41987283.3762292,3A,CO
Colombia,Colombia,1967,EFConsTotGHA,634560.185928075,8443377.61398554,4357881.52056172,555355.806194975,4464813.05343594,23905447.2208043,42361435.4009105,3A,CO
Colombia,Colombia,1968,EFConsTotGHA,732965.628593258,9468500.20386549,4833039.32513666,483506.829328044,4618880.27334041,24967065.0619485,45103957.3222124,3A,CO
Colombia,Colombia,1969,EFConsTotGHA,736087.449773799,9920306.16106418,4777260.00354014,489024.069285865,4463232.405379,25424365.5820494,45810275.6710923,3A,CO
Colombia,Colombia,1970,EFConsTotGHA,820840.513205935,10285469.513043,5132990.53804348,464945.114326221,4469014.8994147,26000074.9708764,47173335.5489098,3A,CO
Colombia,Colombia,1971,EFConsTotGHA,824053.97815931,11238379.9749492,5599679.0725144,443784.651926797,4498035.09014821,26613386.8702542,49217319.637952,3A,CO
Colombia,Colombia,1972,EFConsTotGHA,859162.737007605,11254577.7762003,5508506.91080579,640275.089471821,4994294.21148462,27016078.4745091,50272895.1994792,3A,CO
Colombia,Colombia,1973,EFConsTotGHA,947764.147011153,12175730.0368617,5949910.19592957,647301.423338153,4994451.47207335,27394908.7206145,52110065.9958285,3A,CO
Colombia,Colombia,1974,EFConsTotGHA,975369.819260848,12922945.8507627,6339497.93176452,555566.701178882,4722977.70084065,26879269.5408581,52395627.5446657,3A,CO
Colombia,Colombia,1975,EFConsTotGHA,1065470.04180729,11625359.803461,5930920.11996975,574784.918302295,4697235.21072465,27930304.0146349,51824074.1088999,3A,CO
Colombia,Colombia,1976,EFConsTotGHA,1136182.76229324,12360187.6457118,6814021.59453804,546626.009485445,4689437.89600121,28974149.6065647,54520605.5145944,3A,CO
Colombia,Colombia,1977,EFConsTotGHA,1186201.52452664,13551587.2068609,7468317.37531227,478415.119019747,4702809.72477771,30449855.9176027,57837186.8681,3A,CO
Colombia,Colombia,1978,EFConsTotGHA,1355790.7311713,14850034.9944265,7975858.11333606,660615.213706221,4730805.76984559,30461099.8485088,60034204.6709944,3A,CO
Colombia,Colombia,1979,EFConsTotGHA,1397137.36634079,15238680.7342363,7408432.87185419,915160.203119011,5095108.1843234,30084153.6033037,60138672.9631774,3A,CO
Colombia,Colombia,1980,EFConsTotGHA,1449586.27956446,15938283.5984157,7996587.60248998,822389.6295004,5050442.75946858,30652257.5333192,61909547.4027583,3A,CO
Colombia,Colombia,1981,EFConsTotGHA,1433565.71265923,15499251.0554872,8065236.34358579,885170.748535784,5184927.22192605,30893663.8924965,61961814.9746906,3A,CO
Colombia,Colombia,1982,EFConsTotGHA,1505006.80862416,15629585.6369127,8707889.65362277,862769.117936791,4957078.14549603,30824501.0086248,62486830.3712173,3A,CO
Colombia,Colombia,1983,EFConsTotGHA,1513393.08945705,16101240.968493,9144317.43517959,593212.338822427,4940679.21307774,31906676.3560584,64199519.4010882,3A,CO
Colombia,Colombia,1984,EFConsTotGHA,1627158.60900106,16274590.3925223,8578584.48751161,901814.525101149,5141462.73563292,31245703.6377713,63769314.3875404,3A,CO
Colombia,Colombia,1985,EFConsTotGHA,1560984.13627999,16977645.6288541,8114227.84223151,610950.995178093,5261520.48484703,31177085.5996866,63702414.6870774,3A,CO
Colombia,Colombia,1986,EFConsTotGHA,1742934.73047592,17057581.0885009,8325357.75620826,651557.828677056,5592578.92000526,31271780.5077173,64641790.8315846,3A,CO
Colombia,Colombia,1987,EFConsTotGHA,1731355.62093902,17447049.8264867,8711524.90696266,475442.719365302,5555500.56437028,31610328.3660271,65531202.0041511,3A,CO
Colombia,Colombia,1988,EFConsTotGHA,1879314.77181488,18580847.1267706,9451890.32434963,531433.510819431,5750261.30581469,32054073.3097545,68247820.3493237,3A,CO
Colombia,Colombia,1989,EFConsTotGHA,1993832.73357196,18913359.2721684,8885231.49099727,351887.326245765,5756871.35563065,32039394.1660832,67940576.3446972,3A,CO
Colombia,Colombia,1990,EFConsTotGHA,2388061.1495196,19259766.1245736,9713869.99306731,501322.892947904,5726426.08930637,31348527.2987302,68937973.5481451,3A,CO
Colombia,Colombia,1991,EFConsTotGHA,2540873.09394237,19129409.9365134,9910529.50633995,466372.289011157,5802642.78906994,30770970.5833862,68620798.198263,3A,CO
Colombia,Colombia,1992,EFConsTotGHA,2564695.43574214,21400326.2004671,10446883.0660436,509765.918501332,5419603.75698709,32483701.3512448,72824975.7289861,3A,CO
Colombia,Colombia,1993,EFConsTotGHA,2454796.98958098,23165806.5739278,10347048.3771474,776060.61836233,5475094.23114748,33631582.373048,75850389.163214,3A,CO
Colombia,Colombia,1994,EFConsTotGHA,2391109.92440794,23929975.9176006,11315849.3512952,954606.631889444,5523590.89896719,34212029.7960452,78327162.5202056,3A,CO
Colombia,Colombia,1995,EFConsTotGHA,2718847.41013802,24710436.9792332,12272533.9079297,1284066.57377423,5442111.32900538,33991717.579393,80419713.7794735,3A,CO
Colombia,Colombia,1996,EFConsTotGHA,2798150.21783643,24040299.4775181,12179366.4800447,1243362.98681713,5494124.42391243,34398335.2218847,80153638.8080135,3A,CO
Colombia,Colombia,1997,EFConsTotGHA,2746003.50767453,25927244.596734,12111454.5853937,1197591.8332721,5617813.96130127,33772410.380117,81372518.8644926,3A,CO
Colombia,Colombia,1998,EFConsTotGHA,2667073.53281202,25291969.9938398,12383325.8512421,1037830.44091992,5937092.22995958,33410297.3113919,80727589.3601653,3A,CO
Colombia,Colombia,1999,EFConsTotGHA,2734641.58705594,21270859.0135778,11904514.3145698,901789.806527233,5947782.4247646,32164525.8465063,74924112.9930018,3A,CO
Colombia,Colombia,2000,EFConsTotGHA,2735494.42968374,22181149.8926106,12942914.0073054,1028760.78899195,7362236.7175162,32278668.941756,78529224.7778639,3A,CO
Colombia,Colombia,2001,EFConsTotGHA,3143263.15632704,22470887.5659536,13463975.6413892,1126368.37322695,6369933.97084734,32344989.0181825,78919417.7259266,3A,CO
Colombia,Colombia,2002,EFConsTotGHA,3588295.903925,22359524.639589,13948150.0321747,1138205.43212189,6301403.72432025,32551602.2902091,79887182.0223399,3A,CO
Colombia,Colombia,2003,EFConsTotGHA,3833533.86107404,22759141.9583457,14029160.7407653,1746588.11198894,6454627.13351049,32082314.2002929,80905366.0059774,3A,CO
Colombia,Colombia,2004,EFConsTotGHA,4053351.90600191,23335746.5476617,14241689.5355199,1193452.22656771,5846601.69468613,30627654.385778,79298496.2962154,3A,CO
Colombia,Colombia,2005,EFConsTotGHA,4055623.71817432,24429184.879482,13812996.2799639,1516468.11050861,6334438.05253811,31905856.9228111,82054567.963478,3A,CO
Colombia,Colombia,2006,EFConsTotGHA,4309693.6877072,25696245.8013402,14932769.2699385,1614566.61530876,6098346.80400115,31410775.2430656,84062397.4213614,3A,CO
Colombia,Colombia,2007,EFConsTotGHA,4242645.47115553,26570324.3335613,14971729.1034771,1581263.11212116,6126054.16257469,31350708.3679399,84842724.5508298,3A,CO
Colombia,Colombia,2008,EFConsTotGHA,4321328.11241979,26768480.1951532,14672965.6916377,1519712.85544125,6651351.86367813,30516551.3489469,84450390.067277,3A,CO
Colombia,Colombia,2009,EFConsTotGHA,4202001.46112108,26237439.4700654,15069276.867967,1535570.55212003,7384816.53947182,31285806.0728686,85714910.963614,3A,CO
Colombia,Colombia,2010,EFConsTotGHA,4146665.0736434,28459937.6488668,16000377.5706478,1524154.32638202,7185796.33218226,34314695.6542064,91631626.6059287,3A,CO
Colombia,Colombia,2011,EFConsTotGHA,4098679.25990209,30740713.3745449,16075182.0249995,1657018.93472445,7374746.11107014,30899002.8264362,90845342.5316773,3A,CO
Colombia,Colombia,2012,EFConsTotGHA,4261958.61041302,30488428.7198018,17512537.6834359,1513600.06085843,7781320.66810987,26002186.2482596,87560031.9908786,3A,CO
Colombia,Colombia,2013,EFConsTotGHA,4676433.28919984,33657163.3281767,17380927.4968609,1801826.03440054,7787343.1210194,24484043.1604882,89787736.4301456,3A,CO
Colombia,Colombia,2014,EFConsTotGHA,4738656.00661803,34844023.5174281,17729398.8131233,1928937.15855389,7638832.3409501,25771790.223867,92651638.0605405,3A,CO
Colombia,Colombia,2015,EFConsTotGHA,4991689.28817058,35128784.4490393,18840602.3912555,1855627.33685673,7309072.53193288,25729457.43357,93855233.4308251,3A,CO
Colombia,Colombia,2016,EFConsTotGHA,5085617.65315714,36416535.0523864,20031533.0004111,2024664.61950293,6301811.0070791,26310539.1257155,96170700.4582522,3A,CO
Colombia,Colombia,2017,EFConsTotGHA,1775123.47954288,32100751.8961742,18020250.0167369,2101961.34697974,6065182.33200194,28328211.2540379,88391480.3254736,3A,CO
Colombia,Colombia,2018,EFConsTotGHA,1798793.87858816,33357749.8434168,18873785.1489789,2031096.50346932,5682817.05019587,30457758.5139949,92202000.9386439,3A,CO
